s.index	Longitude	Latitude	Year	Month	Day	Emergencias	TRI_MEAN	TEM_MAX_MEAN	TEM_MIN_MEAN	PRESIPI_MEAN
17	-78.622693	-1.267614	2014	6	1	1	0.021342593	19	9	1
17	-78.622693	-1.267614	2014	9	12	1	0.006759259	23	14	0
17	-78.628152	-1.265368	2014	6	1	1	0.008564815	19	9	1
17	-78.628152	-1.265368	2014	6	14	1	0.003368056	25	9	0
17	-78.628152	-1.265368	2014	6	26	1	0.024907407	21	12	0
17	-78.628152	-1.265368	2014	6	29	1	0.001284722	26	16	0
17	-78.628152	-1.265368	2014	6	30	1	0.007581019	19	14	6
17	-78.628152	-1.265368	2014	7	4	1	0.007511574	23	15	0
17	-78.628152	-1.265368	2014	7	9	1	0.007256944	27	19	0
17	-78.628152	-1.265368	2014	7	16	1	0.003854167	22	9	0
17	-78.628152	-1.265368	2014	8	1	1	0.005231481	26	20	0
17	-78.628152	-1.265368	2014	8	3	1	0.017164352	24	8	0
17	-78.628152	-1.265368	2014	8	4	1	0.00568287	23	9	0
17	-78.628152	-1.265368	2014	8	24	1	0.009884259	20	8	0
17	-78.628152	-1.265368	2014	9	6	1	0.009340278	24	4	0
17	-78.628152	-1.265368	2014	9	13	1	0.020104167	21	6	0
17	-78.628152	-1.265368	2014	10	2	1	0.021527778	24	11	0
17	-78.628152	-1.265368	2014	10	4	1	0.002175926	25	8	0
17	-78.628152	-1.265368	2014	10	13	1	0.003229167	20	8	0
17	-78.628152	-1.265368	2014	10	17	1	0.002048611	25	14	13
17	-78.628152	-1.265368	2014	10	25	2	0.003761574	23	12	7
17	-78.628152	-1.265368	2014	10	31	1	0.003171296	20	9	5
17	-78.628152	-1.265368	2014	11	4	1	0.001006944	19	8	12
17	-78.628152	-1.265368	2014	11	7	1	0.003483796	21	10	2
17	-78.628152	-1.265368	2014	12	15	1	0.007731481	25	6	0
17	-78.628152	-1.265368	2014	12	28	1	0.003912037	13	12	7
17	-78.62488	-1.268324	2014	6	6	1	0.009016204	19	11	0
17	-78.62488	-1.268324	2014	6	21	1	0.005706019	24	8	0
17	-78.62488	-1.268324	2014	8	7	1	0.008136574	25	7	0
17	-78.62488	-1.268324	2014	8	14	1	0.007546296	19	8	0
17	-78.62488	-1.268324	2014	9	2	1	0.003726852	26	5	0
17	-78.62488	-1.268324	2014	11	6	1	0.006759259	20	8	6
17	-78.62488	-1.268324	2014	11	19	1	0.000844907	22	12	1
17	-78.62488	-1.268324	2014	12	10	1	0.004664352	24	11	1
17	-78.62488	-1.268324	2014	12	17	1	0.014675926	20	16	1
17	-78.62488	-1.268324	2014	12	22	1	0.001944444	20	8	0
17	-78.629277	-1.275249	2014	6	10	1	0.005138889	18	9	0
17	-78.628482	-1.275701	2014	6	12	1	0.018668981	27	16	0
17	-78.620648	-1.27485	2014	6	13	1	0.008530093	23	10	0
17	-78.620648	-1.27485	2014	7	3	1	0.005949074	25	7	0
17	-78.620648	-1.27485	2014	7	23	1	0.004699074	26	6	0
17	-78.620648	-1.27485	2014	8	20	1	0.009467593	23	6	0
17	-78.620648	-1.27485	2014	10	20	1	0.010659722	20	16	0
17	-78.620648	-1.27485	2014	11	20	1	0.006759259	22	12	0
17	-78.626242	-1.267839	2014	6	13	1	0.003078704	23	10	0
17	-78.620603	-1.274808	2014	6	14	1	0.007094907	25	9	0
17	-78.629346	-1.271128	2014	6	18	1	0.008761574	23	10	0
17	-78.622366	-1.26945	2014	6	20	1	0.006759259	10	7	0
17	-78.62734	-1.275888	2014	6	20	1	0.022673611	10	7	0
17	-78.62734	-1.275888	2014	8	5	1	0.004027778	20	8	0
17	-78.62734	-1.275888	2014	8	13	1	0.0059375	24	9	0
17	-78.62734	-1.275888	2014	10	14	1	0.003472222	13	12	0
17	-78.62734	-1.275888	2014	11	6	1	0.006759259	20	8	6
17	-78.62734	-1.275888	2014	11	17	1	0.006759259	19	8	6
17	-78.62734	-1.275888	2014	12	31	1	0.006759259	24	15	0
17	-78.623308	-1.275958	2014	6	21	1	0.030243056	24	8	0
17	-78.62756	-1.265521	2014	8	5	1	0.0071875	20	8	0
17	-78.628305	-1.27426	2014	6	30	1	0.006203704	19	14	6
17	-78.627958	-1.267185	2014	7	1	1	0.00244213	19	12	3
17	-78.627958	-1.267185	2014	7	22	1	0.003090278	27	20	0
17	-78.627958	-1.267185	2014	8	24	1	0.005474537	20	8	0
17	-78.627958	-1.267185	2014	9	29	1	0.006076389	25	8	0
17	-78.627614	-1.265006	2014	7	10	1	0.00505787	18	5	0
17	-78.627614	-1.265006	2014	8	29	1	0.003171296	20	8	0
17	-78.627614	-1.265006	2014	11	4	1	0.006759259	19	8	12
17	-78.627614	-1.265006	2014	11	11	1	0.004953704	16	10	29
17	-78.628701	-1.275597	2014	7	12	1	0.002361111	26	18	0
17	-78.624042	-1.265529	2014	7	13	1	0.008761574	23	11	0
17	-78.624042	-1.265529	2014	11	12	1	0.0009375	17	8	0
17	-78.629248	-1.272286	2014	7	13	1	0.003078704	23	11	0
17	-78.628781	-1.273568	2014	7	14	1	0.003263889	25	18	0
17	-78.622802	-1.264815	2014	7	15	1	0.002106481	20	10	0
17	-78.625286	-1.275277	2014	7	16	1	0.003819444	22	9	0
17	-78.621855	-1.271686	2014	7	16	1	0.011041667	22	9	0
17	-78.621855	-1.271686	2014	11	24	1	0.006759259	23	7	0
17	-78.622839	-1.266709	2014	7	17	1	0.004016204	26	11	0
17	-78.623343	-1.271539	2014	7	20	1	0.012916667	23	5	0
17	-78.622774	-1.264648	2014	7	20	1	0.035289352	23	5	0
17	-78.626424	-1.270399	2014	7	21	1	0.001898148	25	10	0
17	-78.626424	-1.270399	2014	8	5	1	0.008287037	20	8	0
17	-78.62678	-1.273333	2014	7	23	1	0.004652778	26	6	0
17	-78.62678	-1.273333	2014	9	13	1	0.003773148	21	6	0
17	-78.62678	-1.273333	2014	10	12	1	0.005891204	28	21	4
17	-78.629533	-1.272512	2014	8	8	1	0.008414352	25	10	0
17	-78.628903	-1.274944	2014	8	16	1	0.018414352	26	9	0
17	-78.62427	-1.276512	2014	8	17	1	0.005127315	25	10	0
17	-78.62828	-1.27013	2014	8	18	1	0.005393519	22	17	0
17	-78.626598	-1.271811	2014	8	20	1	0.001701389	23	6	0
17	-78.626598	-1.271811	2014	8	21	1	0.006041667	26	14	0
17	-78.628596	-1.275689	2014	8	22	1	0.004930556	24	9	0
17	-78.622235	-1.269644	2014	8	23	1	0.003113426	24	14	0
17	-78.622235	-1.269644	2014	9	7	1	0.002407407	25	17	0
17	-78.625421	-1.266586	2014	8	28	1	0.017916667	24	9	0
17	-78.625421	-1.266586	2014	10	20	1	0.003773148	20	16	0
17	-78.629213	-1.269982	2014	9	3	1	0.002083333	21	8	0
17	-78.626999	-1.275919	2014	9	13	1	0.002708333	21	6	0
17	-78.622272	-1.269562	2014	9	16	1	0.01380787	23	11	0
17	-78.628552	-1.272309	2014	9	23	1	0.007094907	25	14	1
17	-78.629471	-1.272209	2014	9	24	1	0.003935185	23	10	0
17	-78.624275	-1.270737	2014	9	26	1	0.006412037	26	7	1
17	-78.625169	-1.273575	2014	10	21	1	0.006805556	25	11	10
17	-78.627441	-1.268712	2014	10	7	1	0.00693287	23	14	0
17	-78.622085	-1.271148	2014	11	17	1	0.003171296	19	8	6
17	-78.628119	-1.269079	2014	10	11	1	0.00130787	20	11	2
17	-78.622537	-1.268566	2014	10	11	1	0.001851852	20	11	2
17	-78.632966	-1.267632	2014	10	13	1	0.006863426	20	8	0
17	-78.626409	-1.270384	2014	10	16	1	0.003645833	24	9	0
17	-78.622782	-1.264709	2014	10	21	1	0.002372685	25	11	10
17	-78.627541	-1.264832	2014	10	22	1	0.005196759	23	13	3
17	-78.632366	-1.267308	2014	10	24	1	0.031643519	21	14	0
17	-78.622182	-1.269686	2014	10	27	1	0.012800926	19	9	8
17	-78.632782	-1.266081	2014	11	1	1	0.003287037	20	7	7
17	-78.629103	-1.27561	2014	11	2	1	0.001388889	20	9	6
17	-78.630176	-1.266958	2014	11	4	1	0.004895833	19	8	12
17	-78.630176	-1.266958	2014	12	1	1	0.000740741	24	8	0
17	-78.625783	-1.26796	2014	11	7	1	0.00193287	21	10	2
17	-78.625783	-1.26796	2014	11	22	1	0.007847222	20	11	0
17	-78.625783	-1.26796	2014	12	6	1	0.006759259	25	11	1
17	-78.630919	-1.267674	2014	11	8	1	0.031527778	22	10	14
17	-78.629009	-1.271608	2014	11	8	1	0.020798611	22	10	14
17	-78.629009	-1.271608	2014	12	5	1	0.010300926	20	10	0
17	-78.628545	-1.275703	2014	11	28	1	0.002939815	24	8	0
17	-78.626864	-1.274034	2014	11	23	1	0.005023148	20	9	0
17	-78.625717	-1.273481	2014	11	26	1	0.006759259	20	17	0
17	-78.627512	-1.266433	2014	12	15	1	0.006759259	25	6	0
17	-78.627093	-1.275241	2014	12	21	1	0.001585648	19	6	9
17	-78.6229	-1.264598	2014	12	28	1	0.003946759	13	12	7
3	-78.628301	-1.24401	2014	6	1	1	0.004409722	19	9	1
3	-78.628301	-1.24401	2014	9	6	1	0.003900463	24	4	0
3	-78.628301	-1.24401	2014	9	24	1	0.002662037	23	10	0
3	-78.62744	-1.239072	2014	6	2	1	0.003043981	21	14	0
3	-78.625984	-1.241971	2014	6	4	1	0.005555556	24	14	0
3	-78.627009	-1.244242	2014	6	5	1	0.00125	21	12	0
3	-78.627009	-1.244242	2014	12	4	1	0.003287037	20	15	3
3	-78.626494	-1.242402	2014	6	6	1	0.003506944	19	11	0
3	-78.626494	-1.242402	2014	6	19	1	0.004780093	25	21	0
3	-78.626494	-1.242402	2014	7	3	1	0.003680556	25	7	0
3	-78.627026	-1.23866	2014	6	6	1	0.005358796	19	11	0
3	-78.625691	-1.24051	2014	6	7	1	0.002986111	21	14	0
3	-78.625691	-1.24051	2014	12	28	1	0.006759259	13	12	7
3	-78.630442	-1.242738	2014	6	8	1	0.001736111	18	12	3
3	-78.630442	-1.242738	2014	9	2	1	0.002638889	26	5	0
3	-78.630442	-1.242738	2014	10	31	1	0.005902778	20	9	5
3	-78.630667	-1.238649	2014	6	8	1	0.002824074	18	12	3
3	-78.62913	-1.238467	2014	6	8	1	0.008472222	18	12	3
3	-78.62913	-1.238467	2014	7	26	1	0.011516204	17	5	0
